Date,"Total Primary Energy Consumption, Monthly (Trillion Btu)"
1995-01-01,8226.193
1995-02-01,7600.222
1995-03-01,7746.0
1995-04-01,7110.691
1995-05-01,7155.399
1995-06-01,7235.883
1995-07-01,7630.432
1995-08-01,7922.336
1995-09-01,7140.889
1995-10-01,7229.695
1995-11-01,7577.392
1995-12-01,8415.663
1996-01-01,8781.981
1996-02-01,8109.506
1996-03-01,8197.535
1996-04-01,7367.168
1996-05-01,7467.868
1996-06-01,7450.954
1996-07-01,7763.058
1996-08-01,7874.803
1996-09-01,7151.97
1996-10-01,7622.8
1996-11-01,7801.33
1996-12-01,8411.304
1997-01-01,8829.387
1997-02-01,7792.359
1997-03-01,7990.105
1997-04-01,7528.444
1997-05-01,7481.764
1997-06-01,7470.765
1997-07-01,8096.186
1997-08-01,7914.987
1997-09-01,7417.608
1997-10-01,7682.068
1997-11-01,7754.95
1997-12-01,8612.464
1998-01-01,8613.349
1998-02-01,7650.204
1998-03-01,8174.686
1998-04-01,7515.048
1998-05-01,7579.487
1998-06-01,7719.457
1998-07-01,8280.961
1998-08-01,8230.509
1998-09-01,7619.267
1998-10-01,7613.624
1998-11-01,7511.035
1998-12-01,8473.946
1999-01-01,8916.761
1999-02-01,7813.917
1999-03-01,8374.956
1999-04-01,7661.381
1999-05-01,7627.869
1999-06-01,7809.606
1999-07-01,8374.699
1999-08-01,8382.839
1999-09-01,7616.185
1999-10-01,7719.808
1999-11-01,7639.148
1999-12-01,8677.385
2000-01-01,8952.552
2000-02-01,8408.733
2000-03-01,8299.973
2000-04-01,7675.241
2000-05-01,8031.61
2000-06-01,8008.679
2000-07-01,8236.269
2000-08-01,8548.824
2000-09-01,7698.591
2000-10-01,7766.954
2000-11-01,7945.917
2000-12-01,9202.865
2001-01-01,9232.643
2001-02-01,8076.539
2001-03-01,8478.752
2001-04-01,7644.096
2001-05-01,7634.33
2001-06-01,7657.916
2001-07-01,8149.902
2001-08-01,8309.177
2001-09-01,7406.407
2001-10-01,7723.42
2001-11-01,7550.214
2001-12-01,8265.421
2002-01-01,8797.524
2002-02-01,7862.335
2002-03-01,8366.013
2002-04-01,7763.628
2002-05-01,7805.742
2002-06-01,7895.25
2002-07-01,8431.411
2002-08-01,8351.015
2002-09-01,7666.385
2002-10-01,7807.859
2002-11-01,8019.291
2002-12-01,8838.275
2003-01-01,9240.026
2003-02-01,8436.902
2003-03-01,8388.085
2003-04-01,7672.871
2003-05-01,7668.133
2003-06-01,7646.582
2003-07-01,8276.555
2003-08-01,8396.654
2003-09-01,7611.482
2003-10-01,7787.892
2003-11-01,7840.971
2003-12-01,8931.788
2004-01-01,9356.761
2004-02-01,8739.588
2004-03-01,8436.524
2004-04-01,7798.772
2004-05-01,7972.415
2004-06-01,7987.726
2004-07-01,8411.707
2004-08-01,8360.387
2004-09-01,7836.495
2004-10-01,7954.67
2004-11-01,8056.203
2004-12-01,9161.792
2005-01-01,9293.633
2005-02-01,8289.366
2005-03-01,8732.272
2005-04-01,7720.125
2005-05-01,7944.425
2005-06-01,8177.87
2005-07-01,8587.417
2005-08-01,8694.069
2005-09-01,7792.931
2005-10-01,7786.96
2005-11-01,7944.982
2005-12-01,9203.614
2006-01-01,8821.064
2006-02-01,8196.243
2006-03-01,8590.968
2006-04-01,7715.794
2006-05-01,7962.577
2006-06-01,8151.424
2006-07-01,8638.191
2006-08-01,8737.089
2006-09-01,7791.252
2006-10-01,8025.711
2006-11-01,8034.39
2006-12-01,8799.524
2007-01-01,9224.099
2007-02-01,8756.146
2007-03-01,8560.962
2007-04-01,7922.601
2007-05-01,8020.219
2007-06-01,8096.704
2007-07-01,8489.769
2007-08-01,8819.221
2007-09-01,7940.003
2007-10-01,7971.07
2007-11-01,8081.343
2007-12-01,9088.554
2008-01-01,9416.811
2008-02-01,8655.698
2008-03-01,8591.288
2008-04-01,7838.339
2008-05-01,7897.137
2008-06-01,8043.044
2008-07-01,8418.132
2008-08-01,8217.76
2008-09-01,7352.76
2008-10-01,7784.983
2008-11-01,7810.301
2008-12-01,8798.701
2009-01-01,9132.892
2009-02-01,7877.464
2009-03-01,8053.429
2009-04-01,7344.836
2009-05-01,7291.033
2009-06-01,7540.794
2009-07-01,7819.433
2009-08-01,7967.259
2009-09-01,7275.728
2009-10-01,7477.653
2009-11-01,7452.965
2009-12-01,8844.724
2010-01-01,9121.89
2010-02-01,8204.549
2010-03-01,8192.466
2010-04-01,7361.076
2010-05-01,7667.622
2010-06-01,7999.252
2010-07-01,8371.194
2010-08-01,8434.888
2010-09-01,7685.307
2010-10-01,7496.765
2010-11-01,7786.653
2010-12-01,9222.291
2011-01-01,9290.094
2011-02-01,8100.186
2011-03-01,8334.016
2011-04-01,7494.053
2011-05-01,7574.279
2011-06-01,7888.75
2011-07-01,8379.823
2011-08-01,8403.739
2011-09-01,7558.026
2011-10-01,7573.961
2011-11-01,7785.453
2011-12-01,8577.674
2012-01-01,8675.881
2012-02-01,7965.14
2012-03-01,7679.563
2012-04-01,7220.91
2012-05-01,7613.83
2012-06-01,7735.767
2012-07-01,8295.7
2012-08-01,8233.164
2012-09-01,7371.496
2012-10-01,7575.059
2012-11-01,7769.379
2012-12-01,8395.913
2013-01-01,8987.891
2013-02-01,8020.339
2013-03-01,8387.226
2013-04-01,7527.478
2013-05-01,7624.542
2013-06-01,7729.694
2013-07-01,8278.524
2013-08-01,8177.588
2013-09-01,7646.976
2013-10-01,7729.789
2013-11-01,8139.385
2013-12-01,9084.557
2014-01-01,9597.476
2014-02-01,8435.055
2014-03-01,8532.832
2014-04-01,7563.754
2014-05-01,7654.965
2014-06-01,7787.279
2014-07-01,8240.025
2014-08-01,8222.075
2014-09-01,7662.252
2014-10-01,7773.04
2014-11-01,8208.219
2014-12-01,8810.438
2015-01-01,9292.748
2015-02-01,8612.522
2015-03-01,8435.164
2015-04-01,7471.053
2015-05-01,7652.129
2015-06-01,7909.442
2015-07-01,8438.055
2015-08-01,8321.835
2015-09-01,7694.434
2015-10-01,7625.323
2015-11-01,7684.262
2015-12-01,8379.018
2016-01-01,9059.96
2016-02-01,8233.758
2016-03-01,7988.318
2016-04-01,7453.868
2016-05-01,7589.128
2016-06-01,7940.306
2016-07-01,8479.555
2016-08-01,8547.841
2016-09-01,7756.993
2016-10-01,7659.346
2016-11-01,7724.267
2016-12-01,9090.311
2017-01-01,8980.434
2017-02-01,7622.006
2017-03-01,8433.752
2017-04-01,7457.019
2017-05-01,7809.195
2017-06-01,7973.908
2017-07-01,8441.678
2017-08-01,8307.883
2017-09-01,7636.766
2017-10-01,7845.024
2017-11-01,8135.75
2017-12-01,9236.555
2018-01-01,9655.467
2018-02-01,8075.048
2018-03-01,8684.524
2018-04-01,7885.539
2018-05-01,8021.157
2018-06-01,8149.256
2018-07-01,8606.516
2018-08-01,8707.549
2018-09-01,7870.618
